Hz;1 Amp[mV];2 Amp[mV];Phase[degrees];Mean Amp 1;Mean Amp 2;Mean Phase;Std Dev Amp 1 ;Std Dev Amp 2;Std Dev Phase;Amp wyj[1]/wej[2];Amp MEAN wyj[1]/wej[2];Krzywa teoretyczna z wykładów AMP;odchylenie AMP;odchylenie AMP MEAN;Krzywa teoretyczna z wykładów Phase;Odchylenie Phase;Phase corr;Mean Phase corr
100;433;985;68.53;511;965;57.75;163;116;13.93;0.439593909;0.529533679;0.33190926;0.173391015;0.18050773;1.491891603;0.24;1.556205213;1.55348204
200;696;984;45.25;506;983;59.39;119;26.9;9.71;0.707317073;0.514750763;0.498396205;0.122471031;0.121874766;1.413957338;0.17;1.548700476;1.553960066
300;806;984;32.54;672;984;45.27;74;15.02;6.69;0.819105691;0.682926829;0.598459368;0.07623552;0.075922304;1.337894227;0.12;1.540074588;1.548710235
400;880;984;25.46;837;984;31.15;28.80;0.138;3.67;0.894308943;0.850609756;0.665239545;0.029268561;0.029268536;1.264475528;0.06;1.531539208;1.538704619
500;912;984;22.32;886;984;25.27;11.2;0.00213;2.003;0.926829268;0.900406504;0.712974692;0.011382114;0.011382114;1.194309809;0.03;1.526023401;1.531244348
600;928;984;15.97;927;984;18.6;8.3;1.08;1.54;0.943089431;0.942073171;0.748795222;0.008498233;0.008498097;1.127826787;0.03;1.508260567;1.517084597
700;936;984;16.23;932;984;17.47;6.29;0.53;1.581;0.951219512;0.947154472;0.776667002;0.006412776;0.006412601;1.065283578;0.03;1.509259824;1.513617737
800;947;984;14.21;944;984;15.21;4.44;0.83;1.263;0.962398374;0.959349593;0.798971592;0.004584636;0.004584182;1.006785441;0.02;1.500539177;1.505144593
900;955;984;12.98;958;984;13.33;3.53;1.03;1.07;0.970528455;0.973577236;0.817225542;0.003728468;0.003729339;0.952314227;0.02;1.493906608;1.495917829
1000;968;984;10.22;967;984;11.25;2.3;1.21;0.8055;0.983739837;0.982723577;0.832440427;0.002631873;0.002631299;0.90175876;0.01;1.473259454;1.482140445
2000;976;984;6.339;974;984;4.213;19;0.74;1.25;0.991869919;0.989837398;0.908559334;0.019323345;0.019323286;0.563874401;0.02;1.414332167;1.337748534
3000;976;984;2.921;972;984;3.721;45.5;0.00;0.9205;0.991869919;0.987804878;0.937123053;0.046239837;0.046239837;0.398964653;0.02;1.240954174;1.308254625
4000;976;984;1.302;974;984;4.064;7.72;1.29;1.544;0.991869919;0.989837398;0.952089168;0.007952556;0.00795212;0.306233945;0.03;0.915843477;1.329526502
5000;976;984;2.07;977;984;2.727;4.52;1.21;0.8701;0.991869919;0.992886179;0.961300509;0.004752664;0.004752985;0.247747562;0.02;1.120766553;1.219319209
6000;976;984;3.184;978;984;2.134;4.39;0.309;0.7757;0.991869919;0.993902439;0.967541067;0.004472242;0.004472286;0.207745515;0.01;1.266481458;1.132579832
7000;976;984;1.951;978;984;2.04;4.64;0.0867;0.9908;0.991869919;0.993902439;0.972048446;0.004716257;0.00471626;0.178745986;0.02;1.097153131;1.115022571
8000;976;984;1.581;979;984;2.061;4.67;0.7240;1.116;0.991869919;0.994918699;0.975456637;0.004801718;0.004802059;0.156792385;0.02;1.006814017;1.119057565
9000;976;984;1.781;979;984;1.742;4.32;0.63;0.8675;0.991869919;0.994918699;0.978124021;0.004436079;0.00443636;0.139610267;0.02;1.059180282;1.049674175
10000;984;984;1.759;979;984;1.472;4.35;0.89;0.7917;1;0.994918699;0.980268454;0.004512106;0.004511189;0.125804085;0.01;1.053857038;0.974065765