Hz,Amplituda wyjściowa[V],Amplituda wejściowa[V],	Iloraz Amplitud(wyjściowa/wejściowa)
100,19.6,1.96,10
200,19.2,1.96,9.795918367
300,19.4,1.96,9.897959184
400,19.3,1.96,9.846938776
500,19.2,1.96,9.795918367
600,19.4,1.96,9.897959184
700,19.4,1.96,9.897959184
800,19.2,1.96,9.795918367
900,19.2,1.96,9.795918367
1000,19.2,1.96,9.795918367
2000,19.4,1.96,9.897959184
3000,19.4,1.96,9.897959184
4000,19.2,1.96,9.795918367
5000,19.2,1.96,9.795918367
6000,19.2,1.96,9.795918367
7000,19.2,1.96,9.795918367
8000,19.2,1.96,9.795918367
9000,19.2,1.96,9.795918367
10000,19.2,1.96,9.795918367
20000,15.6,1.96,7.959183673
30000,10.8,1.96,5.510204082
40000,8.6,1.96,	4.387755102
50000,7,1.92,	3.645833333
60000,5.24,1.96,2.673469388
70000,4.48,1.96,2.285714286
80000,3.96,1.96,2.020408163
90000,3.52,1.96,1.795918367
100000,3.2,1.96,1.632653061
200000,1.76,1.96,	0.897959184
300000,1.2,1.96,0.612244898